tool,condition,threshold,N_res,pct_REDIportal,pct_Alu,failed
REDItools2,WT,2.0,51886,31.24,0.0212,False
REDItools2,WT,4.0,30524,34.1,0.0262,False
REDItools2,WT,6.0,20939,33.81,0.0239,False
REDItools2,WT,8.0,15816,31.85,0.0316,False
REDItools2,WT,10.0,12674,29.97,0.0237,False
REDItools2,ADAR1KO,2.0,40705,5.18,0.0369,False
REDItools2,ADAR1KO,4.0,22635,5.53,0.0353,False
REDItools2,ADAR1KO,6.0,15759,5.53,0.0381,False
REDItools2,ADAR1KO,8.0,11938,5.44,0.0335,False
REDItools2,ADAR1KO,10.0,9825,5.22,0.0204,False
BCFtools,WT,0.0,29718,11.33,0.0101,False
BCFtools,ADAR1KO,0.0,30748,5.07,0.0163,False
SPRINT,WT,2.0,0,0.0,0.0,True
SPRINT,WT,4.0,0,0.0,0.0,True
SPRINT,WT,6.0,0,0.0,0.0,True
SPRINT,WT,8.0,0,0.0,0.0,True
SPRINT,WT,10.0,0,0.0,0.0,True
SPRINT,ADAR1KO,2.0,0,0.0,0.0,True
SPRINT,ADAR1KO,4.0,0,0.0,0.0,True
SPRINT,ADAR1KO,6.0,0,0.0,0.0,True
SPRINT,ADAR1KO,8.0,0,0.0,0.0,True
SPRINT,ADAR1KO,10.0,0,0.0,0.0,True
RED-ML,WT,0.5,0,0.0,0.0,True
RED-ML,WT,0.6,0,0.0,0.0,True
RED-ML,WT,0.7,0,0.0,0.0,True
RED-ML,WT,0.8,0,0.0,0.0,True
RED-ML,WT,0.9,0,0.0,0.0,True
RED-ML,ADAR1KO,0.5,0,0.0,0.0,True
RED-ML,ADAR1KO,0.6,0,0.0,0.0,True
RED-ML,ADAR1KO,0.7,0,0.0,0.0,True
RED-ML,ADAR1KO,0.8,0,0.0,0.0,True
RED-ML,ADAR1KO,0.9,0,0.0,0.0,True
JACUSA2,WT,2.0,3546,80.06,0.0,False
JACUSA2,WT,4.0,2466,89.74,0.0,False
JACUSA2,WT,6.0,1939,93.66,0.0,False
JACUSA2,WT,8.0,1539,95.84,0.0,False
JACUSA2,WT,10.0,1151,97.22,0.0,False
JACUSA2,ADAR1KO,2.0,3546,80.06,0.0,False
JACUSA2,ADAR1KO,4.0,2466,89.74,0.0,False
JACUSA2,ADAR1KO,6.0,1939,93.66,0.0,False
JACUSA2,ADAR1KO,8.0,1539,95.84,0.0,False
JACUSA2,ADAR1KO,10.0,1151,97.22,0.0,False
